,course_name,district,city_name1,length,height,hiking_road,uphill_road,downhill_road,level,level_1
113,북한산성분소~북한천다리출발점_코스,서울특별시,은평구,997,85,0.6,0.1,0.3,19,very easy
17,북한산성분소~삼천사계곡_코스,서울특별시,은평구,2963,83,2.46,0.2,0.3,15,very easy
93,북한산성분소~효자2통 버스정류장_코스,서울특별시,은평구,3174,109,2.2,0.4,0.57,18,very easy
19,북한산성탐방지원센터~72보병사단 버스정류장_코스,서울특별시,은평구,7526,149,6.5,0.5,0.5,15,very easy
112,북한산성탐방지원센터~북한산성분소_코스,서울특별시,은평구,4960,282,3.2,1.3,0.4,19,very easy
4,북한산성탐방지원센터~삼천교_코스,서울특별시,은평구,2572,83,2.17,0.1,0.3,13,very easy
6,북한산성탐방지원센터~삼천사계곡_코스,서울특별시,은평구,2793,83,2.39,0.1,0.3,14,very easy
94,북한산성탐방지원센터~삼천사계곡폭포_코스,서울특별시,은평구,4026,205,2.73,0.9,0.4,18,very easy
7,북한산성탐방지원센터~삼천탐방지원센터_코스,서울특별시,은평구,2725,83,2.33,0.1,0.3,14,very easy
110,북한산성탐방지원센터~연서로48길_코스,서울특별시,은평구,6264,158,3.96,1.1,1.2,19,very easy
56,북한산성탐방지원센터~효자2통 버스정류장_코스,서울특별시,은평구,3162,109,2.36,0.3,0.5,17,very easy
13,산골마을주거환경개선지구~홍은동골프연습장_코스,서울특별시,은평구,930,129,0.53,0.2,0.2,15,very easy
15,산골마을주거환경개선지구~홍은여자중학교산_코스,서울특별시,은평구,905,129,0.6,0.2,0.1,15,very easy
53,삼천교~북한산성분소_코스,서울특별시,은평구,7532,282,5.7,1.33,0.4,17,very easy
3,삼천교~북한산성탐방지원센터_코스,서울특별시,은평구,2572,83,2.37,0.1,0.1,13,very easy
20,삼천사계곡~북한산성분소_코스,서울특별시,은평구,2963,83,2.66,0.1,0.2,15,very easy
54,삼천사계곡~북한산성분소_코스,서울특별시,은평구,7754,282,5.8,1.2,0.6,17,very easy
9,삼천사계곡~북한산성탐방지원센터_코스,서울특별시,은평구,2793,83,2.49,0.1,0.2,14,very easy
55,삼천탐방지원센터~북한산성분소_코스,서울특별시,은평구,7690,282,5.5,1.49,0.6,17,very easy
8,삼천탐방지원센터~북한산성탐방지원센터_코스,서울특별시,은평구,2725,83,2.33,0.2,0.2,14,very easy
24,새마을지도자탑~우장산 정상_코스,서울특별시,강서구,1022,82,0.72,0.2,0.1,16,very easy
96,새마을지도자탑~우장산 정상_코스,서울특별시,강서구,1022,81,0.72,0.2,0.1,18,very easy
48,서울시립대학교음악관~배봉산 근린공원 1 개방화장실_코스,서울특별시,동대문,977,71,0.68,0.2,0.1,17,very easy
31,서울시립대학교하늘못~배봉산 근린공원 1 개방화장실_코스,서울특별시,동대문,876,66,0.68,0.1,0.1,16,very easy
89,서울시립은평청소년수련관~홍은여자중학교산_코스,서울특별시,은평구,1788,146,1.39,0.2,0.2,18,very easy
45,석진아트빌라~홍은여자중학교산_코스,서울특별시,은평구,1319,126,0.92,0.3,0.1,17,very easy
109,성지아트빌~배봉산근린공원_코스,서울특별시,동대문,784,87,0.38,0.3,0.1,19,very easy
68,수목원~청계산입구삼거리_코스,서울특별시,강남구,6509,268,4.5,0.7,0.8,17,very easy
85,신원동출발점~청계산입구역_코스,서울특별시,서초구,1209,127,0.5,0.1,0.5,17,very easy
46,심택사~홍은여자중학교산_코스,서울특별시,은평구,1009,129,0.7,0.2,0.1,17,very easy
25,아롱다롱이어린이집~홍은여자중학교산_코스,서울특별시,은평구,1005,126,0.8,0.1,0.1,16,very easy
87,아롱다롱이어린이집~홍은여자중학교산_코스,서울특별시,은평구,1037,126,0.54,0.3,0.2,18,very easy
30,아차산 생태공원~김순호기념 여학생관_코스,서울특별시,광진구,499,101,0.2,0.1,0.2,16,very easy
5,아차산 생태공원~워커힐버스정류소_코스,서울특별시,광진구,391,88,0.2,0.09,0.1,14,very easy
