트랙포인트고유번호,부모트랙고유번호,트랙포인트정렬순서,트랙포인트경도,트랙포인트위도,트랙포인트해발고도,트랙포인트X좌표,트랙포인트Y좌표
27043140,20193338814,1156,128.316785,36.109726,136.36,1073513.55,1790612.58
27043170,20193338814,1166,128.316548,36.110716,125.36,1073491.29,1790722.21
27043200,20193338814,1176,128.31626,36.111711,118.89,1073464.44,1790832.36
27043230,20193338814,1186,128.315674,36.112314,114.66,1073411.14,1790898.8
27043270,20193338814,1199,128.315249,36.1133,115.4,1073371.97,1791007.85
27038671,20193338814,15,128.315486,36.1137,99.41,0,0
27038681,20193338814,25,128.315647,36.114466,111.86,0,0
27038691,20193338814,35,128.316145,36.11518,97.1,0,0
27038701,20193338814,45,128.3168,36.115947,114.59,0,0
27038711,20193338814,54,128.317576,36.116623,118.93,0,0
27038721,20193338814,57,128.317921,36.116724,120.29,0,0
27038771,20193338814,74,128.319305,36.117775,96.4,0,0
27038781,20193338814,77,128.319617,36.117913,94.12,0,0
27038811,20193338814,87,128.3202,36.11871,113.15,0,0
27038821,20193338814,90,128.320246,36.11898,106.69,0,0
27038851,20193338814,100,128.319792,36.119875,116.15,0,0
27038861,20193338814,103,128.319624,36.12013,116,0,0
27038871,20193338814,105,128.319529,36.12032,113.64,0,0
27039161,20193338814,163,128.32377,36.122631,85.19,0,0
27039181,20193338814,167,128.324139,36.122862,84.57,0,0
27039191,20193338814,169,128.324351,36.122968,84.13,0,0
27039201,20193338814,171,128.32455,36.123074,83.28,0,0
27039211,20193338814,173,128.324814,36.123142,82.61,0,0
27039241,20193338814,179,128.325505,36.123327,83.24,0,0
27039251,20193338814,181,128.325705,36.123386,84.24,0,0
27039261,20193338814,183,128.32592,36.123436,88.46,0,0
27039271,20193338814,185,128.326111,36.123484,81.29,0,0
27039281,20193338814,187,128.326344,36.123507,80.35,0,0
27039291,20193338814,189,128.326566,36.123525,80.51,0,0
27039321,20193338814,195,128.327232,36.123613,80.09,0,0
27039331,20193338814,197,128.327488,36.123621,78.94,0,0
27039351,20193338814,201,128.32797,36.123637,81.88,0,0
27039361,20193338814,203,128.328222,36.123685,80.7,0,0
27039371,20193338814,205,128.328442,36.123632,80.6,0,0
27039391,20193338814,209,128.328944,36.12373,81.72,0,0
27039401,20193338814,211,128.329164,36.123704,82.06,0,0
27039481,20193338814,227,128.32917,36.123928,77.41,0,0
27039581,20193338814,247,128.329901,36.123173,26.45,0,0
27039591,20193338814,249,128.330043,36.12304,31.15,0,0
27039601,20193338814,251,128.330151,36.122879,41.62,0,0
27039651,20193338814,266,128.330619,36.121819,95.86,0,0
27039681,20193338814,275,128.330475,36.120983,113.65,0,0
27039691,20193338814,277,128.330429,36.120792,118.94,0,0
27039701,20193338814,279,128.330313,36.120637,123.25,0,0
27039771,20193338814,296,128.329847,36.11984,147.45,0,0
27039791,20193338814,303,128.329137,36.120103,164.38,0,0
27039861,20193338814,318,128.327546,36.119572,151.96,0,0
27039871,20193338814,320,128.327371,36.119438,146.61,0,0
27039881,20193338814,322,128.327193,36.119281,140.14,0,0
27039891,20193338814,324,128.327063,36.119164,149.3,0,0
27039901,20193338814,326,128.326902,36.119009,148.39,0,0
27040171,20193338814,364,128.32304,36.118272,200.34,0,0
27040261,20193338814,377,128.323025,36.117599,204.63,0,0
27040271,20193338814,379,128.323134,36.117436,201.61,0,0
27040281,20193338814,381,128.323222,36.117246,202.42,0,0
27040291,20193338814,383,128.323193,36.117069,198.36,0,0
27040301,20193338814,385,128.323147,36.116897,194.77,0,0
27040381,20193338814,401,128.323074,36.115573,225.38,0,0
27040391,20193338814,403,128.323143,36.1154,228.3,0,0
27040401,20193338814,405,128.32311,36.115248,228.53,0,0
27040411,20193338814,407,128.323088,36.115096,219.67,0,0
27040521,20193338814,427,128.322328,36.113539,279.61,0,0
27040581,20193338814,436,128.321867,36.112881,272.82,0,0
27040791,20193338814,466,128.321466,36.110368,273.65,0,0
27040961,20193338814,490,128.321116,36.108452,272.64,0,0
27041011,20193338814,497,128.321743,36.108019,274.73,0,0
27041031,20193338814,500,128.321746,36.107727,273.35,0,0
27041181,20193338814,521,128.321573,36.105804,245.05,0,0
27041221,20193338814,527,128.322152,36.105527,276.19,0,0
27041331,20193338814,546,128.322895,36.103876,251.38,0,0
27041351,20193338814,550,128.323038,36.103558,267.8,0,0
27041361,20193338814,552,128.323143,36.103403,270.24,0,0
27041381,20193338814,556,128.323491,36.103255,285.2,0,0
27041401,20193338814,560,128.323533,36.102929,284.61,0,0
27041421,20193338814,564,128.323635,36.10258,294.95,0,0
27041431,20193338814,566,128.323703,36.102407,294.4,0,0
