,course_name,district,city_name1,length,height,hiking_road,uphill_road,downhill_road,level,level_1
37,봉제산 근린공원~태청그린빌라_코스,서울특별시,강서구,1535,108,0.84,0.4,0.3,20,easy
815,봉제산 근린공원~한광고등학교_코스,서울특별시,강서구,1346,113,0.55,0.4,0.4,25,easy
812,봉제산공원~대일고등학교_코스,서울특별시,강서구,1005,113,0.4,0.1,0.5,25,easy
34,봉제산공원~동서초등학교_코스,서울특별시,강서구,1334,108,0.73,0.1,0.5,20,easy
118,봉제산공원~등촌초등학교_코스,서울특별시,강서구,1211,108,0.7,0.1,0.4,21,easy
282,봉제산공원~등촌파크빌라_코스,서울특별시,강서구,906,108,0.4,0.1,0.4,22,easy
33,봉제산공원~럭키주택_코스,서울특별시,강서구,1175,108,0.78,0.1,0.3,20,easy
119,봉제산공원~백석 근린공원_코스,서울특별시,강서구,728,108,0.33,0.1,0.3,21,easy
124,봉제산공원~봉제산 근린공원_코스,서울특별시,강서구,760,108,0.36,0.1,0.3,21,easy
123,봉제산공원~한광고등학교_코스,서울특별시,강서구,961,113,0.46,0.1,0.4,21,easy
35,봉제산공원~현대하이츠빌라_코스,서울특별시,강서구,1171,108,0.7,0.1,0.37,20,easy
645,봉제산근린공원~kc대학교_코스,서울특별시,강서구,1684,108,0.9,0.4,0.38,24,easy
647,봉제산근린공원~가나빌라_코스,서울특별시,강서구,2047,108,1.25,0.4,0.4,24,easy
447,봉제산근린공원~등촌초등학교_코스,서울특별시,강서구,2091,108,1.39,0.4,0.3,23,easy
646,봉제산근린공원~등촌파크빌라_코스,서울특별시,강서구,1785,108,0.9,0.4,0.49,24,easy
653,봉제산근린공원~백석 근린공원_코스,서울특별시,강서구,1597,108,0.8,0.4,0.4,24,easy
656,봉제산근린공원~백석 근린공원_코스,서울특별시,강서구,1607,108,0.8,0.4,0.4,24,easy
642,봉제산근린공원~백석근린공원_코스,서울특별시,강서구,1580,108,0.8,0.4,0.38,24,easy
654,봉제산근린공원~봉제산 근린공원_코스,서울특별시,강서구,1639,108,0.84,0.4,0.4,24,easy
480,북악산_코스,서울특별시,종로구,1301,231,0.6,0.6,0.1,24,easy
687,북악산_코스,서울특별시,종로구,1301,231,0.4,0.2,0.7,24,easy
476,북악산공원지킴이터_코스,서울특별시,종로구,3388,304,1.89,0.6,0.9,24,easy
479,북악산공원지킴이터_코스,서울특별시,성북구,3388,304,1.99,0.9,0.5,24,easy
688,북악산공원지킴이터_코스,서울특별시,종로구,3490,304,1.9,0.6,0.99,24,easy
700,북악산공원지킴이터~세검정초등학교 버스정류장_코스,서울특별시,성북구,4233,304,1.6,1,1.6,25,easy
856,북악산공원지킴이터~세검정초등학교 버스정류장_코스,서울특별시,성북구,4131,304,1.6,0.9,1.6,25,easy
478,북악산공원지킴이터~자하문고개 윤동주문학관 버스정류장_코스,서울특별시,성북구,4572,304,2.47,1,1.1,24,easy
689,북악산공원지킴이터~자하문고개 윤동주문학관 버스정류장_코스,서울특별시,성북구,4674,304,2.37,1.1,1.1,24,easy
312,북한산 캠핑장입구~연천중학교_코스,서울특별시,은평구,626,98,0.33,0.2,0.1,23,easy
709,북한산 캠핑장입구~은평소방서_코스,서울특별시,은평구,885,107,0.29,0.3,0.3,25,easy
715,북한산 캠핑장입구~정수빌라_코스,서울특별시,은평구,709,100,0.2,0.2,0.3,25,easy
