"","course_name","district","city_name1","length","height","hiking_road","uphill_road","downhill_road","level"
"57","국기대(깃대봉)~삼성산국기대_코스","서울특별시","관악구",1182,441,0.88,0.2,0.1,17
"58","삼성산국기대~국기대(깃대봉)_코스","경기도","안양시",1182,441,0.88,0.1,0.2,17
"59","삼성산국기대~국기대(깃대봉)_코스","경기도","안양시",1182,441,0.88,0.1,0.2,17
"60","국기대(깃대봉)~삼성산국기대_코스","서울특별시","관악구",1182,441,0.88,0.2,0.1,17
"61","현대빌라트~아차산성 유원지_코스","서울특별시","광진구",248,96,0.05,0.1,0.1,17
"62","청계산입구역~신원동출발점_코스","서울특별시","서초구",1209,127,0.7,0.3,0.1,17
"63","삼천교~북한산성분소_코스","서울특별시","은평구",7532,282,5.7,1.33,0.4,17
"64","삼천사계곡~북한산성분소_코스","서울특별시","은평구",7754,282,5.8,1.2,0.6,17
"65","삼천탐방지원센터~북한산성분소_코스","서울특별시","은평구",7690,282,5.5,1.49,0.6,17
"66","효자2통 버스정류장~북한산성탐방지원센터_코스","경기도","고양시",3162,109,2.56,0.3,0.3,17
"67","북한산성탐방지원센터~효자2통 버스정류장_코스","서울특별시","은평구",3162,109,2.36,0.3,0.5,17
"68","구룡산~디에스빌딩_코스","서울특별시","강남구",4199,259,3.1,0.1,0.8,17
"69","일원터널교차로~청계산입구삼거리_코스","서울특별시","강남구",4516,268,2.7,0.7,0.6,17
"70","구룡산제1호 공영주차장~염곡안1길_코스","서울특별시","강남구",4343,268,2.34,0.8,0.8,17
"71","청계산입구삼거리~디에스빌딩_코스","서울특별시","서초구",5892,268,4.09,0.6,0.8,17
"72","청계산입구삼거리~서울로봇고등학교_코스","서울특별시","서초구",4685,268,3.2,0.5,0.49,17
"73","구룡산~정선_코스","서울특별시","강남구",4579,259,3.28,0.1,1,17
"74","탄허기념박물관~구룡산_코스","서울특별시","강남구",4250,259,3.05,0.8,0.2,17
"75","청계산입구삼거리~수목원_코스","서울특별시","서초구",6509,268,4.7,0.6,0.8,17
"76","LH강남아이파크~구룡산_코스","서울특별시","강남구",4260,259,2.86,0.9,0.3,17
"77","은혜와진리교회~청계산입구삼거리_코스","서울특별시","강남구",6032,268,4.1,0.8,0.8,17
"78","청계산입구삼거리~은혜와진리교회_코스","서울특별시","서초구",6032,268,4.13,0.6,0.9,17
"79","수목원~청계산입구삼거리_코스","서울특별시","강남구",6509,268,4.5,0.7,0.8,17
"80","정선~청계산입구삼거리_코스","서울특별시","강남구",6262,268,4.2,1,0.7,17
"81","디에스빌딩~구룡산_코스","서울특별시","강남구",4199,259,3,0.9,0.1,17
"82","청계산입구삼거리~LH강남아이파크_코스","서울특별시","서초구",5943,268,3.84,0.6,1.1,17
"83","염곡안1길~구룡산제1호 공영주차장_코스","서울특별시","서초구",4343,268,2.74,0.6,0.7,17
"84","구룡산~LH강남아이파크_코스","서울특별시","강남구",4260,259,2.96,0.1,1,17
"85","LH강남아이파크~청계산입구삼거리_코스","서울특별시","강남구",5943,268,3.7,0.9,0.9,17
"86","청계산입구삼거리~일원터널교차로_코스","서울특별시","서초구",4516,268,2.9,0.5,0.7,17
"87","청계산입구삼거리~탄허기념박물관_코스","서울특별시","서초구",5933,268,3.83,0.6,1,17
"88","디에스빌딩~청계산입구삼거리_코스","서울특별시","강남구",5994,268,4.2,0.6,0.69,17
"89","청계산입구삼거리~디에스빌딩_코스","서울특별시","서초구",5994,268,4.19,0.6,0.8,17
"90","탄허기념박물관~청계산입구삼거리_코스","서울특별시","강남구",5933,268,4,0.8,0.8,17
"91","청계산입구삼거리~정선_코스","서울특별시","서초구",6262,268,4.16,0.6,1.1,17
"92","디에스빌딩~청계산입구삼거리_코스","서울특별시","강남구",5892,268,4,0.7,0.7,17
"93","구룡산~탄허기념박물관_코스","서울특별시","강남구",4250,259,2.95,0.1,1,17
"94","청계산입구삼거리~디에스빌딩_코스","서울특별시","서초구",5882,268,4.08,0.6,0.8,17
"95","일원터널교차로~구룡산_코스","서울특별시","강남구",2833,259,1.93,0.7,0.1,17
"96","신원동출발점~청계산입구역_코스","서울특별시","서초구",1209,127,0.5,0.1,0.5,17
"97","황금산_코스","경기도","남양주",994,45,0.8,0.09,0.1,17
"98","토월약수터위~성지바위산_코스","경기도","용인시",1931,244,0.83,0.6,0.5,18
"99","능원초등학교~대지산_코스","경기도","용인시",3201,314,2,1.1,0.1,18
"100","우장산 정상~새마을지도자탑_코스","서울특별시","강서구",1022,81,0.62,0.2,0.2,18
"101","아롱다롱이어린이집~홍은여자중학교산_코스","서울특별시","은평구",1037,126,0.54,0.3,0.2,18
"102","홍은여자중학교산~서울시립은평청소년수련관_코스","서울특별시","서대문",1788,146,1.5,0.1,0.19,18
"103","서울시립은평청소년수련관~홍은여자중학교산_코스","서울특별시","은평구",1788,146,1.39,0.2,0.2,18
"104","홍은여자중학교산~아롱다롱이어린이집_코스","서울특별시","서대문",1037,126,0.64,0.1,0.3,18
"105","배봉산 근린공원 1 개방화장실~전농3동경로당_코스","서울특별시","동대문",602,67,0.3,0.1,0.2,18
"106","아차산성 유원지~동의초등학교_코스","서울특별시","광진구",406,96,0.1,0.1,0.2,18
"107","북한산성분소~효자2통 버스정류장_코스","서울특별시","은평구",3174,109,2.2,0.4,0.57,18
"108","북한산성탐방지원센터~삼천사계곡폭포_코스","서울특별시","은평구",4026,205,2.73,0.9,0.4,18
"109","밤골 매표소기점~북한산성분소_코스","경기도","고양시",3106,109,2.31,0.4,0.4,18
"110","북한산성분소~밤골 매표소기점_코스","서울특별시","은평구",3106,109,2.1,0.4,0.6,18
"111","북한산성계곡~효자2통 버스정류장_코스","경기도","고양시",3300,109,2.6,0.3,0.4,18
"112","효자2통 버스정류장~북한산성분소_코스","경기도","고양시",3174,109,2.57,0.3,0.3,18
"113","효자2통 버스정류장~북한산성계곡_코스","경기도","고양시",3300,109,2.6,0.4,0.3,18
"114","새마을지도자탑~우장산 정상_코스","서울특별시","강서구",1022,81,0.72,0.2,0.1,18
"115","학미산_코스","경기도","시흥시",2082,82,1.78,0.1,0.2,18
"116","덕소등산로입구~월문교사거리_코스","경기도","남양주",6004,407,4.5,1.3,0.2,18
"117","월문교사거리~덕소등산로입구_코스","경기도","남양주",6004,407,4.4,0.1,1.4,18
"118","홍천고등학교~성지바위산_코스","경기도","용인시",2863,244,1.56,1,0.3,19
"119","형제봉~대지산_코스","경기도","성남시",3102,319,2,0.4,0.7,19
"120","불곡산~숫돌봉_코스","경기도","광주시",3743,318,2.44,0.7,0.6,19
"121","이화여자대학교산학협력관~혜성빌_코스","서울특별시","서대문",1061,133,0.66,0.2,0.2,19
"122","홍은여자중학교산~정우너여자중학교_코스","서울특별시","서대문",2786,180,2.09,0.3,0.4,19
"123","홍은여자중학교산~정우너여자중학교_코스","서울특별시","서대문",2872,180,2,0.3,0.57,19
"124","홍은여자중학교산~대한주택_코스","서울특별시","서대문",1153,126,0.65,0.1,0.4,19
"125","홍은여자중학교산~녹번역_코스","서울특별시","서대문",1173,129,0.7,0.1,0.37,19
"126","정우너여자중학교~홍은여자중학교산_코스","서울특별시","서대문",2785,180,1.69,0.5,0.6,19
"127","정우너여자중학교~홍은여자중학교산_코스","서울특별시","서대문",2872,180,1.57,0.6,0.7,19
"128","녹번역~홍은여자중학교산_코스","서울특별시","은평구",1173,129,0.67,0.4,0.1,19
"129","대한주택~홍은여자중학교산_코스","서울특별시","은평구",1153,126,0.55,0.4,0.2,19
"130","배봉산근린공원~성지아트빌_코스","서울특별시","동대문",784,87,0.3,0.1,0.38,19
"131","도정산~비루봉_코스","경기도","의정부",5034,285,3.43,0.9,0.7,19
"132","청계산 원터골 버스정류장~청계산입구역_코스","서울특별시","서초구",1247,134,0.6,0.1,0.4,19
"133","청계산입구역~청계산 원터골 버스정류장_코스","서울특별시","서초구",1247,134,0.75,0.3,0.1,19
"134","성지아트빌~배봉산근린공원_코스","서울특별시","동대문",784,87,0.38,0.3,0.1,19
"135","미소래요양원~관산14동마을회관_코스","경기도","고양시",2376,120,1.38,0.4,0.6,19
"136","관산14동마을회관~관산초등학교_코스","경기도","고양시",2344,120,1.44,0.5,0.4,19
"137","관산14동마을회관~미소래요양원_코스","경기도","고양시",2376,120,1.4,0.5,0.48,19
"138","관산초등학교~관산14동마을회관_코스","경기도","고양시",2344,120,1.24,0.4,0.7,19
"139","북한산성탐방지원센터~연서로48길_코스","서울특별시","은평구",6264,158,3.96,1.1,1.2,19
"140","연서로48길~북한산성계곡_코스","서울특별시","은평구",6643,158,4.64,0.9,1.1,19
"141","북한산성탐방지원센터~북한산성분소_코스","서울특별시","은평구",4960,282,3.2,1.3,0.4,19
"142","북한산성계곡~삼천사계곡폭포_코스","경기도","고양시",4399,205,3,1.1,0.3,19
"143","북한산성분소~북한천다리출발점_코스","서울특별시","은평구",997,85,0.6,0.1,0.3,19
"144","연서로48길~북한산성탐방지원센터_코스","서울특별시","은평구",6264,158,4.36,0.8,1.1,19
"145","연서로48길~북한산성분소_코스","서울특별시","은평구",11225,282,7.17,2.46,1.57,19
"146","북한산성계곡~연서로48길_코스","경기도","고양시",6643,158,4.54,1.1,1,19
"147","안산도시자연공원~궁동공원_코스","서울특별시","서대문",1223,69,1.02,0.1,0.1,19
"148","청계산입구삼거리~청솔빌리지_코스","서울특별시","서초구",4825,268,3.13,0.6,0.7,19
"149","청솔빌리지~청계산입구삼거리_코스","서울특별시","강남구",4825,268,2.8,0.7,0.8,19
"150","청솔빌리지~청계산입구삼거리_코스","서울특별시","강남구",4817,268,3,0.7,0.6,19
"151","구룡배드민턴클럽~청계산입구삼거리_코스","서울특별시","강남구",3117,268,1.6,0.6,0.5,19
"152","청계산입구삼거리~청솔빌리지_코스","서울특별시","서초구",4817,268,3.02,0.6,0.8,19
"153","청계산입구삼거리~구룡배드민턴클럽_코스","서울특별시","서초구",3117,268,1.82,0.5,0.6,19
"154","이화여자대학교산학협력관~혜성빌_코스","서울특별시","서대문",702,127,0.4,0.2,0.1,19
"155","혜성빌~이화여자대학교산학협력관_코스","서울특별시","서대문",702,127,0.4,0.1,0.2,19
"156","월문교사거리~예봉산_코스","경기도","남양주",8564,649,5.5,1.8,1.06,19
"157","덕계역~고장산_코스","경기도","양주시",1314,221,0.61,0.6,0.1,19
"158","온 스토리~개화산약사사_코스","서울특별시","강서구",1513,112,1.01,0.4,0.1,19
"159","주사랑교회~바라산_코스","경기도","용인시",6877,451,4.3,1.5,1.08,20
"160","지구촌교회~성지바위산_코스","경기도","용인시",2719,244,1.42,0.8,0.5,20
"161","모락산산림욕장위~포도원민족교회기도원_코스","경기도","의왕시",8117,363,5.3,1.52,1.3,20
"162","수지성당삼거리~성지바위산_코스","경기도","용인시",2901,244,1.8,0.9,0.2,20
"163","삼성쉐르빌~성지바위산_코스","경기도","용인시",2444,244,1.24,0.9,0.3,20
"164","포도원민족교회기도원~모락산산림욕장위_코스","경기도","의왕시",8117,363,4.82,1.5,1.8,20
"165","주안말사거리~광교산 반딧불이화장실_코스","경기도","수원시",2244,116,1.74,0.2,0.3,20
"166","성복천~성지바위산_코스","경기도","용인시",2889,244,1.99,0.7,0.2,20
"167","주안말사거리~광교산둘레길_코스","경기도","수원시",4277,189,2.78,0.7,0.8,20
"168","용인동천동우체국~바라산_코스","경기도","용인시",9389,451,5.8,2.2,1.39,20
"169","능원초등학교~불곡산_코스","경기도","용인시",5540,318,3.1,1.8,0.64,20
"170","이화여자대학교산학협력관~연세대학교영선실_코스","서울특별시","서대문",1037,133,0.54,0.2,0.3,20
"171","연세대학교영선실~이화여자대학교산학협력관_코스","서울특별시","서대문",1134,133,0.63,0.3,0.2,20
"172","연세대학교영선실~이화여자대학교산학협력관_코스","서울특별시","서대문",1205,133,0.6,0.4,0.2,20
"173","해맞이동산~단군성전_코스","서울특별시","종로구",1407,131,0.8,0.2,0.4,20
"174","산골마을주거환경개선지구~서대문노인전문요양센터_코스","서울특별시","은평구",887,129,0.5,0.1,0.29,20
"175","홍은여자중학교산~홍은동산교회_코스","서울특별시","서대문",3202,180,1.9,0.4,0.9,20
"176","백련산~명지고등학교_코스","서울특별시","서대문",2617,214,1.6,0.3,0.7,20
"177","서울시립은평병원~홍은여자중학교산_코스","서울특별시","은평구",1913,139,1.4,0.3,0.2,20
"178","홍은동산교회~홍은여자중학교산_코스","서울특별시","서대문",3202,180,1.9,0.7,0.6,20
"179","명지고등학교~백련산_코스","서울특별시","서대문",2617,214,1.72,0.6,0.3,20
"180","서대문노인전문요양센터~산골마을주거환경개선지구_코스","서울특별시","서대문",887,129,0.4,0.2,0.29,20
"181","홍은여자중학교산~길상사_코스","서울특별시","서대문",1826,163,1.23,0.2,0.4,20
"182","길상사~홍은여자중학교산_코스","서울특별시","서대문",1826,163,0.93,0.5,0.4,20
"183","홍은여자중학교산~서울시립은평병원_코스","서울특별시","서대문",1913,139,1.4,0.2,0.3,20
"184","배봉산근린공원~전농3동경로당_코스","서울특별시","동대문",895,87,0.3,0.1,0.5,20
"185","도정산~비루봉_코스","경기도","의정부",4855,285,3.16,1,0.7,20
"186","증산로13가길 35~신사동 237-484_코스","서울특별시","은평구",2100,142,0.8,0.8,0.5,20
"187","신동아빌라~봉산_코스","서울특별시","은평구",3892,181,2.49,1.1,0.3,20
"188","증산로13가길 35~봉산_코스","서울특별시","은평구",3672,181,2.27,1,0.4,20
"189","증산체육공원~신사동 237-484_코스","서울특별시","은평구",2183,142,0.9,0.6,0.68,20
"190","봉산_코스","경기도","고양시",3828,181,2.33,1,0.5,20
"191","증산체육공원~환희정사_코스","서울특별시","은평구",1622,142,0.72,0.6,0.3,20
"192","환희정사~증산로13가길 35_코스","서울특별시","은평구",1448,142,0.75,0.2,0.5,20
"193","증산체육공원~봉산_코스","서울특별시","은평구",3751,181,2.05,1.1,0.6,20
"194","봉산~증산로13가길 35_코스","경기도","고양시",3672,181,2.07,0.3,1.3,20
"195","봉산~수색로22가길 5_코스","경기도","고양시",4024,181,2.12,0.4,1.5,20
"196","신사동 237-484~증산체육공원_코스","서울특별시","은평구",2183,142,1,0.4,0.78,20
"197","봉산~신동아빌라_코스","경기도","고양시",3892,181,2.29,0.4,1.2,20
"198","증산로13가길 35~환희정사_코스","서울특별시","은평구",1448,142,0.65,0.6,0.2,20
"199","수색로22가길 5~봉산_코스","서울특별시","은평구",4024,181,2.42,1.2,0.4,20
"200","봉산_코스","경기도","고양시",3809,181,2.2,0.3,1.3,20
"201","봉산_코스","경기도","고양시",3828,181,2.23,0.4,1.2,20
"202","봉산_코스","서울특별시","은평구",3809,181,2.21,1.2,0.4,20
"203","증산로13가길 35~증산체육공원_코스","서울특별시","은평구",499,67,0.2,0.1,0.2,20
"204","신사동 237-484~증산로13가길 35_코스","서울특별시","은평구",2100,142,1.1,0.4,0.6,20
"205","증산체육공원~증산로13가길 35_코스","서울특별시","은평구",499,67,0.2,0.2,0.1,20
"206","봉산~증산체육공원_코스","경기도","고양시",3751,181,2.1,0.2,1.45,20
"207","환희정사~증산체육공원_코스","서울특별시","은평구",1622,142,0.72,0.3,0.6,20
"208","원터골~청계산 원터골 버스정류장_코스","서울특별시","서초구",529,146,0.23,0.1,0.2,20
"209","청계산(망경대)~이수봉_코스","경기도","과천시",1563,603,0.76,0.3,0.5,20
"210","이수봉~청계산(망경대)_코스","경기도","의왕시",1563,603,0.96,0.3,0.3,20
"211","태청그린빌라~봉제산 근린공원_코스","서울특별시","강서구",1535,108,0.94,0.2,0.4,20
"212","봉제산공원~럭키주택_코스","서울특별시","강서구",1175,108,0.78,0.1,0.3,20
"213","봉제산공원~동서초등학교_코스","서울특별시","강서구",1334,108,0.73,0.1,0.5,20
"214","봉제산공원~현대하이츠빌라_코스","서울특별시","강서구",1171,108,0.7,0.1,0.37,20
"215","현대하이츠빌라~봉제산공원_코스","서울특별시","강서구",1171,108,0.6,0.5,0.07,20
"216","봉제산 근린공원~태청그린빌라_코스","서울특별시","강서구",1535,108,0.84,0.4,0.3,20
"217","럭키주택~봉제산공원_코스","서울특별시","강서구",1175,108,0.7,0.4,0.08,20
"218","전농3동경로당~배봉산근린공원_코스","서울특별시","동대문",895,87,0.5,0.3,0.1,20
"219","북한산둘레길8구간~북한산성분소_코스","서울특별시","은평구",6400,227,3.9,0.9,1.6,20
"220","북한성입구 교차로~북한산둘레길8구간_코스","서울특별시","은평구",6630,227,4.3,1.43,0.9,20
"221","정릉그린빌라~북한산국립공원사무소_코스","서울특별시","성북구",906,182,0.7,0.1,0.1,20
"222","북한산둘레길8구간~북한산성분소_코스","서울특별시","은평구",11191,282,6.99,2.09,2,20
"223","북한산국립공원사무소~정릉그린빌라_코스","서울특별시","성북구",906,182,0.6,0.1,0.2,20
"224","서은평경찰서~북한산성분소_코스","서울특별시","은평구",6475,158,4.68,0.9,0.9,20
"225","발바닥바위~북한산성분소_코스","서울특별시","은평구",9728,349,6.5,1.43,1.7,20
"226","북한산성분소~북한산성탐방지원센터_코스","서울특별시","은평구",4972,282,3,1.4,0.5,20
"227","북한산성분소~북한산둘레길8구간_코스","서울특별시","은평구",6400,227,4.3,1.3,0.8,20
"228","북한산둘레길8구간~북한산성탐방지원센터_코스","서울특별시","은평구",6231,227,3.83,0.8,1.6,20
"229","북한산국립공원 관리사무소 주차장~정릉그린빌라_코스","서울특별시","성북구",952,182,0.65,0.1,0.2,20
"230","북한산둘레길8구간~북한성입구 교차로_코스","서울특별시","은평구",6630,227,4.2,0.8,1.6,20
"231","북한산성분소~서은평경찰서_코스","서울특별시","은평구",6475,158,4.78,0.7,1,20
"232","정릉그린빌라~북한산국립공원 관리사무소 주차장_코스","서울특별시","성북구",952,182,0.75,0.1,0.1,20
"233","북한산성탐방지원센터~북한산둘레길8구간_코스","서울특별시","은평구",6231,227,3.9,1.43,0.9,20
"234","성산공원~연희하이츠빌라_코스","서울특별시","서대문",1348,75,0.75,0.4,0.2,20
"235","안산도시자연공원~별장빌라트_코스","서울특별시","서대문",1029,69,0.83,0.1,0.1,20
"236","연희하이츠빌라~성산공원_코스","서울특별시","서대문",1348,75,0.95,0.1,0.3,20
"237","에코힐하우스~성산공원_코스","서울특별시","서대문",1096,75,0.7,0.2,0.2,20
"238","성산공원~에코힐하우스_코스","서울특별시","서대문",1256,75,0.76,0.3,0.2,20
"239","에코힐하우스~성산공원_코스","서울특별시","서대문",1256,75,1.06,0.1,0.1,20
"240","성산공원~에코힐하우스_코스","서울특별시","서대문",1096,75,0.6,0.3,0.2,20
"241","세곡리엔파크1단지~청계산입구삼거리_코스","서울특별시","강남구",6925,268,3.7,1.2,1.4,20
"242","구룡산제1호 공영주차장~긍인선원_코스","서울특별시","강남구",3701,268,2.2,0.8,0.5,20
"243","청솔빌리지~구룡산_코스","서울특별시","강남구",3134,259,2.23,0.7,0.1,20
"244","긍인선원~구룡산제1호 공영주차장_코스","서울특별시","강남구",3701,268,2.5,0.5,0.6,20
"245","구룡산~청솔빌리지_코스","서울특별시","강남구",3134,259,2.23,0.1,0.7,20
"246","청계산입구삼거리~양재대로14길_코스","서울특별시","서초구",3381,268,1.78,0.5,0.9,20
"247","양재대로14길~청계산입구삼거리_코스","서울특별시","강남구",3381,268,1.4,0.8,0.7,20
"248","불곡산~능원초등학교_코스","경기도","광주시",5540,318,3.14,0.7,1.7,20
"249","청계산 원터골 버스정류장~원터골_코스","서울특별시","서초구",529,146,0.03,0.3,0.2,20
"250","청계산(망경대)~이수봉_코스","경기도","과천시",1563,603,0.76,0.3,0.5,20
"251","이수봉~청계산(망경대)_코스","경기도","의왕시",1563,603,0.96,0.3,0.3,20
"252","단군성전~해맞이동산_코스","서울특별시","종로구",1407,131,0.6,0.5,0.3,20
"253","연세대학교영선실~이화여자대학교산학협력관_코스","서울특별시","서대문",1037,133,0.64,0.2,0.2,20
"254","월문교사거리~큰명산_코스","경기도","남양주",5717,523,3.92,0.3,1.4,20
"255","월문교사거리~제공안산_코스","경기도","남양주",5137,523,3.84,0.1,1.1,20
"256","덕소등산로입구_코스","경기도","남양주",3594,257,2.4,0.79,0.4,20
"257","개화산약사사~내촌_코스","서울특별시","강서구",1264,112,0.7,0.1,0.46,20
"258","망치봉~오금산정상부근_코스","경기도","의왕시",2415,180,1.72,0.3,0.4,21
"259","오금산정상부근~장안말고개_코스","경기도","의왕시",3238,181,1.84,0.4,1,21
"260","망치봉~광교산(범봉)_코스","경기도","의왕시",3503,234,2.2,0.9,0.4,21
"261","오금산정상부근~장안말고개_코스","경기도","의왕시",3238,181,1.84,0.4,1,21
"262","오금산정상부근~망치봉_코스","경기도","의왕시",2414,180,1.4,0.4,0.6,21
"263","오금산정상부근~장안말고개_코스","경기도","의왕시",3238,181,1.84,0.4,1,21
"264","망치봉~오금산정상부근_코스","경기도","의왕시",2414,180,1.71,0.3,0.4,21
"265","망치봉~광교산(범봉)_코스","경기도","의왕시",3509,234,2.31,0.9,0.3,21
"266","오금산정상부근~장안말고개_코스","경기도","의왕시",3238,181,1.84,0.4,1,21
"267","불곡산~대지산_코스","경기도","광주시",2339,318,1.14,0.6,0.6,21
"268","불곡산~용인공원_코스","경기도","광주시",5392,318,3.1,0.7,1.59,21
"269","안산_코스","서울특별시","서대문",1739,265,0.7,0.9,0.1,21
"270","연세대학교신촌캠퍼스무악학사3학사~이화여자대학교산학협력관_코스","서울특별시","서대문",1353,139,0.8,0.3,0.25,21
"271","홍은여자중학교산~서울시립은평청소년수련관_코스","서울특별시","서대문",1915,139,1.5,0.2,0.2,21
"272","홍은여자중학교산~명지고등학교_코스","서울특별시","서대문",2699,180,1.6,0.5,0.6,21
"273","서울시립은평청소년수련관~홍은여자중학교산_코스","서울특별시","은평구",1915,139,1.52,0.2,0.2,21
"274","서울시립은평청소년수련관~산골마을주거환경개선지구_코스","서울특별시","은평구",1288,139,0.8,0.1,0.39,21
