코스고유번호,코스명,코스설명,코스시도명,코스읍면동명,코스지역명,코스웹사이트주소,코스총길이,코스평균경사도,코스최고해발고도,코스최저해발고도,코스오름길이,코스평지길이,코스내림길이
398082,충청북도보은군_20190101_033745,충청북도보은군_20190101_033745,충청북도,보은군 속리산면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5080,15471,8.25,1055,357,3.78,8.53,3.17
398079,검단산_20190101_090547,검단산_20190101_090547,경기도,하남시 천현동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6095,6517,11.77,685,54,2.9,0.5,3.1
398077,충남_계룡산_남매탑__일출산행_20190101_055520,충남_계룡산_남매탑__일출산행_20190101_055520,충청남도,공주시 반포면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3053,7552,7.32,630,185,1.9,4.05,1.6
398075,충청남도아산시_20181231_075736,충청남도아산시_20181231_075736,충청남도,아산시 온양2동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1038,5817,5.33,200,61,1.2,3,1.62
398073,할미산-석성산_20190101_064423,할미산-석성산_20190101_064423,경기도,용인시 기흥구 동백동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/4068,6079,9.46,495,152,1.7,2.58,1.8
398072,하동 금오산    청소년수련원 해맞이공원,하동 금오산    청소년수련원 해맞이공원,경상남도,하동군 금남면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6094,7252,12.58,858,108,3.1,1.35,2.8
398071,경기도부천시원미구_20190101_065221,경기도부천시원미구_20190101_065221,경기도,부천시 부천동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1037,4220,4.38,141,40,0.6,2.82,0.8
398070,계양산-계양공원_20190101_071334,계양산-계양공원_20190101_071334,인천광역시,계양구 계산2동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3052,6779,6.9,414,42,1.5,3.78,1.5
398068,관악산연주대-자운암국기대_20190101_061942,관악산연주대-자운암국기대_20190101_061942,서울특별시,관악구 대학동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2045,3984,14.77,660,210,1.5,0.7,1.7
398066,금정산,금정산,부산광역시,금정구 청룡노포동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/4067,7927,8.19,836,289,2.6,3.5,1.83
398065,개운산_20190101_065621,개운산_20190101_065621,서울특별시,성북구 종암동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1035,2210,3.95,149,64,0.3,1.5,0.4
398062,대구광역시동구_20190101_063347,대구광역시동구_20190101_063347,대구광역시,동구 불로.봉무동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2044,4909,6.94,354,72,1,2.4,1.5
398061,달음산_20190101_063148,달음산_20190101_063148,부산광역시,기장군 정관읍,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1034,473,13.92,601,276,1.19,0.3,0
398059,경기도오산시_20190101_100718,경기도오산시_20190101_100718,경기도,오산시 신장동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6092,5982,3.82,179,43,0.8,4.2,1.1
398058,성재산-계족산성산성봉_20190101_055727,성재산-계족산성산성봉_20190101_055727,대전광역시,대덕구 법2동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3051,8439,5.62,456,96,1.6,4.94,1.9
398057,대구광역시동구_20181231_185812,대구광역시동구_20181231_185812,대구광역시,동구 공산동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6,8,0,394,391,0,0.01,0
398056,비슬산_20190101_000026,비슬산_20190101_000026,대구광역시,달성군 가창면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5,1,0,1112,1112,0,0,0
398055,사직공원_20181220_200149,사직공원_20181220_200149,광주광역시,남구 사직동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/4,1322,1.44,123,93,0.1,1.22,0
398052,강원도평창군_20190101_064148,강원도평창군_20190101_064148,강원도,평창군 대관령면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1032,3883,4.79,1022,857,1,2,0.88
398051,대구광역시달성군_20190101_071751,일출보기위해 올라오다.. 모암봉,대구광역시,달성군 다사읍,대구광역시 달성군,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2043,3830,6.88,191,34,0.72,1.6,1.5
398049,태백산장군봉-태백산_20190101_042550,태백산장군봉-태백산_20190101_042550,강원도,태백시 문곡소도동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/4066,9216,10.68,1640,835,3.3,1.7,4.2
398048,대전광역시대덕구 계족산 일출. _20190101_061205,대전광역시대덕구 계족산 일출. _20190101_061205,대전광역시,대덕구 회덕동,대전광역시 대덕구,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2042,5524,7.58,431,109,1.4,2.52,1.6
398044,경상북도칠곡군_20190101_061017,경상북도칠곡군_20190101_061017,경상북도,칠곡군 동명면,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2041,3609,13.25,796,430,1.3,0.8,1.5
398043,함지산_20190101_063742,함지산_20190101_063742,대구광역시,북구 동천동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3050,5518,5.64,293,78,0.82,3.5,1.2
398042,경상남도거창군_20190101_054457,경상남도거창군_20190101_054457,경상남도,거창군 북상면,경상남도 함양군,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5078,6508,10.16,1493,679,2.2,1.88,1.6
398040,부산광역시강서구_20181231_212556,부산광역시강서구_20181231_212556,부산광역시,강서구 명지2동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6089,980,27.22,448,39,0.1,0.6,0.2
398039,황령산_20190101_055919,황령산_20190101_055919,부산광역시,부산진구 전포1동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2040,2387,10.73,459,62,1.99,0.4,0
398038,함백산_20190101_060532,새해 해맞이,강원도,태백시 문곡소도동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1029,2029,14.75,1601,1341,0.9,0.2,0.9
312487,광대봉~부황리 보길저수지_코스,"망월봉,광대봉,격자봉,적자봉 (전라남도) 광대봉~격자봉~부황리 보길저수지",서울특별시,종로구 사직동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3942358,6389,8.34,411,58,1.1,2.49,2.2
311612,신천지하이츠아파트~대구수성소방서_코스,"두리봉,무학산,연호산 (대구광역시) 신천지하이츠아파트~무학산~수성소방서1 버스정류장~대구수성소방서",부산광역시,금정구 금성동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3945159,1907,5.95,181,39,0.4,1,0.5
235248,효자봉~봉곡유치원_코스,"성안전위봉,금오산,남봉,할딱봉,이오오봉,엄마봉,아홉산,굴등봉,황금봉,호령봉,감은산,적지봉,칼다봉,효자봉,금오산성,백운봉 (경상북도) 효자봉~엄마봉~남동고개전망대~전망대주차장~호령봉~감은산~봉곡유치원",경기도,성남시 분당구 수내2동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3828195,7243,7.47,511,72,0.9,3.24,3.1
207034,제주키아로라리조트~고성리신양공동묘지_코스,대수산봉 (제주특별자치도) 제주키아로라리조트~고성리신양공동묘지,강원도,태백시 철암동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3787827,1094,4.57,117,37,0.5,0.59,0
197629,동신과학고등학교~녹사래골_코스,"질현산,매봉산,고봉산,꽃산,덤바위산,동광산,시루봉,신성봉,언애바위산,토끼봉,황태봉 (대전광역시) 동신과학고등학교~녹사래골",대구광역시,달서구 진천동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3763204,1905,3.32,159,116,0.3,1.4,0.2
156287,얼음골~낙가산_코스,"망산,구석산,귀석산,용정산,이티봉,천자봉,중봉,리틀봉,장노봉,선도산,국사봉,우암산,상당산,백화산,낙가산,것대산,피반령,성무봉,국수봉,관봉,인경산,선두산,백족산,대항산,구녀산,고부랑고개 (충청북도) 얼음골~것대산~낙가산",광주광역시,북구 두암1동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3629208,4898,12.49,464,176,1.6,1.8,0.9
45041,구기계곡~우이신설도시철도 차량기지_코스,북한산국립공원 구기계곡~문수사~쉼터~쉼터~쉼터~용암사지석탑~북한대피소~용암문~백운대피소~족도리바위~북한산인수대피소~영봉~코끼리바위~우이동계곡~우이신설도시철도 차량기지,경상북도,구미시 선주원남동,기타,https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3338814,9371,11.25,681,36,3,1.87,4.5
